Etichette di riga,"Somma di Annual mean, ug/m3 PM10","Somma di Annual mean, ug/m3 PM2.5","Max di Annual mean, ug/m3 PM10_2","Max di Annual mean, ug/m3 PM2.5_2","Min di Annual mean, ug/m3 PM10_2","Min di Annual mean, ug/m3 PM2.5_2"
Switzerland,181.4741343,127.031894,22.83312316,15.98318621,16.37783933,11.46448753
Thailand,1164.702381,647.7967371,57,31.70287502,23,12.79238816
The former Yugoslav Republic of Macedonia,333.7094874,196.1609779,139.5886668,81.45090231,51.08148707,29.80638262
Tunisia,315,133.1141763,90,38.0326218,58,24.50991183
Turkey,4949.948542,3018.326568,109.496,66.7672973,11.712,7.14161783
Uganda,170.4,104.3,170.4,104.3,170.4,104.3
Unit. Rep. of Tanzania,35.1,23.325,35.1,23.325,35.1,23.325
United Arab Emirates,679.2,287.0195192,146,61.69736426,123.2,52.0624334
United Kingdom,893.8282584,607.539967,31.13807947,16.03820498,11.65104477,6.06134453
United States of America,5716.569061,3095.186727,33.05990728,17.9,2.955075511,1.6
Uruguay,25.83333333,8,25.83333333,8,25.83333333,8
"Venezuela, Bolivarian Republic of",47,25.44774227,47,25.44774227,47,25.44774227
Totale complessivo,110769.3771,62562.22509,593.7,216.6681138,2.955075511,1.6
